p,rounds,shots,fails,ler_per_round,stderr,num_detectors,num_dem_errors
0.001,6,50000,76,0.0002534939269734915,2.9037232803572877e-05,252,3636
0.0015,6,50000,378,0.0012639874355461211,6.456197023015949e-05,252,3636
0.002,6,50000,1013,0.0034055294255674884,0.00010501198979164237,252,3636
0.003,6,50000,4386,0.015184915015612255,0.00021085171408678026,252,3636
0.004,6,50000,10977,0.040470256371561875,0.0003085289365143352,252,3636
