p,p_erase,rounds,shots,fails_blind,fails_aware,ler_blind,ler_aware,stderr_blind,stderr_aware,ms_blind,ms_aware,bp_conv_blind,bp_conv_aware,bp_iter_blind,bp_iter_aware
0.001,0.005,6,20000,645,36,0.005448683370405827,0.00030022524781603277,0.0002081997488391056,4.995497973175447e-05,182.07687242502942,50.39572107502681,0.0701,0.7324,28.35615,10.09715
0.001,0.01,6,20000,1045,41,0.008904208064373975,0.0003419588730871892,0.0002622550113386248,5.330464723330102e-05,213.39138148996938,55.05087020498759,0.0284,0.7372,29.34925,9.99255
0.001,0.02,6,20000,957,47,0.008138814634405578,0.00039205072528814,0.00025155178807421215,5.706328723443822e-05,213.89492042006316,56.103719439945415,0.0479,0.7368,29.15185,10.1722
0.001,0.04,6,20000,2206,59,0.019290011883843383,0.0004922720987173834,0.00036918436752146237,6.391506408247328e-05,70.5967334799927,38.60645598003684,0.52895,0.7511,18.49165,10.0802
